stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.06375] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06379] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06381] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06385] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06387] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06390] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06393] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06396] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06399] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06402] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06405] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06408] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06411] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06414] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06417] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06420] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06423] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06426] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06429] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06432] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06435] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06438] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06441] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06444] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06447] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06450] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06453] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06456] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06466] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06470] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06472] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06476] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06478] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06482] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06484] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06488] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06490] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06494] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06496] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06500] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06502] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06506] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06509] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06512] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.06516] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.06821] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.06826] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.07722] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.09219] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.09225] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.09229] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.09235] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.09242] Returning d3d_display: 008F95E0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.09245] al_display=008F95E0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.09248] al_display->vt=008F9500
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09268] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09392] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09403] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09496] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09507] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09603] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09615] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09703] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09715] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09820] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09832] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.09929] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.09940] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10031] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10042] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10131] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10143] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10234] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10247] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10400] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10413] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10504] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10516] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10604] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10615] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10713] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10724] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10821] PathFindOnPath failed to find d3dx9_30.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10833] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10920] PathFindOnPath failed to find d3dx9_29.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10931] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.11020] PathFindOnPath failed to find d3dx9_28.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.11031] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.11127] PathFindOnPath failed to find d3dx9_27.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.11138] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.11232] PathFindOnPath failed to find d3dx9_26.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.11247] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.11347] PathFindOnPath failed to find d3dx9_25.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.11358] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.11454] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.11460] Failed to load D3DX9 library. Library is not installed.dtor     D               dtor.c:196  _al_register_destructor          [   0.11478] added dtor for queue 00984DC0, func 0F2C2379
dtor     D               dtor.c:227  _al_unregister_destructor        [  16.77285] removed dtor for queue 00984DC0
d3d      I         d3d_disp.cpp:901  d3d_destroy_display              [  16.77292] destroying display 008F95E0 (current 00000000)
d3d      D         d3d_disp.cpp:885  d3d_destroy_display_internals    [  16.77686] waiting for display 008F95E0's thread to end
d3d      W         d3d_disp.cpp:595  d3d_destroy_device               [  16.78137] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:595  d3d_destroy_device               [  16.78143] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1549 d3d_display_thread_proc          [  16.78426] d3d display thread exits
